Algorithm,TestType,ArraySize,Duration_ms
Quicksort,All Negative,3000,5.3637
Quicksort,All Positive,3000,5.251
Quicksort,Already Sorted,3000,0.0374
Quicksort,Reverse Sorted,3000,0.0213
Quicksort,Mixed,4500,8.3093
Quicksort,All Negative,4500,8.4843
Quicksort,All Positive,4500,8.517
Quicksort,Already Sorted,4500,0.0316
Quicksort,Reverse Sorted,4500,0.0317
Quicksort,Mixed,6000,12.5597
Quicksort,All Negative,6000,11.4752
Quicksort,All Positive,6000,11.4257
Quicksort,Already Sorted,6000,0.0522
Quicksort,Reverse Sorted,6000,0.0419
Quicksort,Mixed,7000,13.769
Quicksort,All Negative,7000,13.7977
Quicksort,All Positive,7000,13.8348
Quicksort,Already Sorted,7000,0.0484
Quicksort,Reverse Sorted,7000,0.0592
Quicksort,Mixed,8000,16.0587
Quicksort,All Negative,8000,14.3876
Quicksort,All Positive,8000,13.7532
Quicksort,Already Sorted,8000,0.0499
Quicksort,Reverse Sorted,8000,0.0459
Quicksort,Mixed,9000,15.847
Quicksort,All Negative,9000,16.0018
Quicksort,All Positive,9000,16.1244
Quicksort,Already Sorted,9000,0.0538
Quicksort,Reverse Sorted,9000,0.056
Quicksort,Mixed,10000,17.7039
Quicksort,All Negative,10000,17.43
Quicksort,All Positive,10000,17.1594
Quicksort,Already Sorted,10000,0.0589
Quicksort,Reverse Sorted,10000,0.0571
Quicksort,Mixed,15000,28.522
Quicksort,All Negative,15000,28.3528
Quicksort,All Positive,15000,27.5007
Quicksort,Already Sorted,15000,0.0882
Quicksort,Reverse Sorted,15000,0.17
Quicksort,Mixed,20000,39.527
Quicksort,All Negative,20000,38.5071
Quicksort,All Positive,20000,39.0186
Quicksort,Already Sorted,20000,0.1158
Quicksort,Reverse Sorted,20000,0.113
Quicksort,Mixed,30000,61.2283
Quicksort,All Negative,30000,59.6616
Quicksort,All Positive,30000,60.8387
Quicksort,Already Sorted,30000,0.1689
Quicksort,Reverse Sorted,30000,0.1694
Quicksort,Mixed,40000,81.4886
Quicksort,All Negative,40000,83.5194
Quicksort,All Positive,40000,83.5295
Quicksort,Already Sorted,40000,0.226
Quicksort,Reverse Sorted,40000,0.2264
Quicksort,Mixed,200000,495.807
Quicksort,All Negative,200000,459.738
Quicksort,All Positive,200000,455.604
Quicksort,Already Sorted,200000,1.1809
Quicksort,Reverse Sorted,200000,1.1555
Quicksort,Mixed,500000,1233.19
Quicksort,All Negative,500000,1136.49
Quicksort,All Positive,500000,1167.39
Quicksort,Already Sorted,500000,2.8972
Quicksort,Reverse Sorted,500000,3.1811
Quicksort,Mixed,1000000,2478.66
Quicksort,All Negative,1000000,2290.67
Quicksort,All Positive,1000000,2298.28
Quicksort,Already Sorted,1000000,6.2054
Quicksort,Reverse Sorted,1000000,6.0848
